well,model,accuracy,adj_accuracy
CHURCHMAN BIBLE,LDA (classical),0.45792079207920794,0.8193069306930693
CHURCHMAN BIBLE,Random Forest,0.4183168316831683,0.801980198019802
CHURCHMAN BIBLE,XGBoost,0.38613861386138615,0.7871287128712872
CHURCHMAN BIBLE,DepthWindowCNN,0.4430693069306931,0.806930693069307
CROSS H CATTLE,LDA (classical),0.4491017964071856,0.8982035928143712
CROSS H CATTLE,Random Forest,0.4171656686626746,0.9021956087824351
CROSS H CATTLE,XGBoost,0.46706586826347307,0.8702594810379242
CROSS H CATTLE,DepthWindowCNN,0.564870259481038,0.8902195608782435
LUKE G U,LDA (classical),0.5488069414316703,0.9501084598698482
LUKE G U,Random Forest,0.5748373101952278,0.9370932754880694
LUKE G U,XGBoost,0.5466377440347071,0.9175704989154013
LUKE G U,DepthWindowCNN,0.5227765726681128,0.8698481561822126
NEWBY,LDA (classical),0.4470842332613391,0.8488120950323974
NEWBY,Random Forest,0.5464362850971922,0.8704103671706264
NEWBY,XGBoost,0.5442764578833693,0.8790496760259179
NEWBY,DepthWindowCNN,0.46436285097192226,0.857451403887689
NOLAN,LDA (classical),0.5132530120481927,0.8771084337349397
NOLAN,Random Forest,0.5228915662650603,0.8626506024096385
NOLAN,XGBoost,0.5325301204819277,0.8626506024096385
NOLAN,DepthWindowCNN,0.5253012048192771,0.8385542168674699
Recruit F9,LDA (classical),0.16176470588235295,0.4117647058823529
Recruit F9,Random Forest,0.08823529411764706,0.3382352941176471
Recruit F9,XGBoost,0.11764705882352941,0.39705882352941174
Recruit F9,DepthWindowCNN,0.36764705882352944,0.36764705882352944
SHANKLE,LDA (classical),0.5300668151447662,0.9510022271714922
SHANKLE,Random Forest,0.46547884187082406,0.9510022271714922
SHANKLE,XGBoost,0.48329621380846327,0.9576837416481069
SHANKLE,DepthWindowCNN,0.576837416481069,0.9042316258351893
SHRIMPLIN,LDA (classical),0.4692144373673036,0.9384288747346072
SHRIMPLIN,Random Forest,0.5668789808917197,0.9341825902335457
SHRIMPLIN,XGBoost,0.554140127388535,0.9320594479830149
SHRIMPLIN,DepthWindowCNN,0.5817409766454352,0.9150743099787686
